# Satellite parameters in the following order from left to right:
# Satellite ID, components of initial position (X, Y, Z) in meters, components of initial velocity (U, V, W) in meters per second
0169, 1.11685990360336e+06, 2.43819015698387e+06,-6.32344586016345e+06,-7.51442296882731e+03, 4.48486539378960e+02,-1.16314978249407e+03
0170, 6.84872086816040e+05, 1.23739340563292e+06,-6.72206409647052e+06,-7.57767520247978e+03, 1.38979874869773e+02,-7.54999681379552e+02
0171, 1.73710007674723e+05, 6.22580956775207e+05,-6.83982490482726e+06, 7.61305437139562e+03,-1.66902597839544e+01, 1.83363228984132e+02
0172, 5.61860738530617e+05, 6.20712887626615e+05, 6.81930184554089e+06,-7.58953452413214e+03, 5.64543302916377e+01, 6.20220920848860e+02
0173, 5.92214641695142e+05, 6.20482495485331e+05, 6.81677070177769e+06,-7.58668016550122e+03, 5.95039682921799e+01, 6.53724981196063e+02
0174, 1.12255684672063e+06, 1.22682788939050e+06, 6.66466757482220e+06, 7.51435078274564e+03,-2.25320172178564e+02,-1.22403807286928e+03
0175, 2.21058768196545e+06, 2.28913580135093e+06, 6.08522583814706e+06,-8.66678515960948e+02, 7.18357670894045e+03,-2.38576128045887e+03
0176, 2.59389209724151e+06, 2.68846301583229e+06, 5.76161805062592e+06,-1.22383659097453e+03, 7.01175389772136e+03,-2.71841646808442e+03
0177, 2.97722951220647e+06, 3.08871457703986e+06, 5.36141898718718e+06,-1.66282140796943e+03, 6.80624788758874e+03,-2.99442224136141e+03
0178, 3.71946865878568e+06, 3.85547493452596e+06, 4.29487246278459e+06,-2.79900731372784e+03, 6.30720815258429e+03,-3.23201525208901e+03
0179, 4.05347243509608e+06, 4.20546324679949e+06, 3.60944440642444e+06,-3.48298383848559e+03, 6.02591018671822e+03,-3.10144863071964e+03
0180, 4.34706307405349e+06, 4.50199977085696e+06, 2.82489282705350e+06,-4.18628136981705e+03, 5.75636740046359e+03,-2.72041054205287e+03
0181, 4.57039452050515e+06, 4.74154123094607e+06, 1.94293468950818e+06,-4.83906926111888e+03, 5.51470606497907e+03,-2.05715184765305e+03
